name,points,challenges
NEUQROOOOOO,740,"{'challenge_name': ['OhMyTetration'], 'challenge_category': ['Crypto'], 'challenge_points': ['740']}"
Bri9htM0on,676,"{'challenge_name': ['Hard guess', 'signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Web'], 'challenge_points': ['476', '56', '144']}"
N0r7hSt4r,584,"{'challenge_name': ['master of movie', 'signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Web'], 'challenge_points': ['384', '56', '144']}"
LuckyLonely,584,"{'challenge_name': ['master of movie', 'signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Misc', 'Web'], 'challenge_points': ['384', '56', '144']}"
cybertutu,552,"{'challenge_name': ['Excellent-Site', 'ACTF upload'], 'challenge_category': ['Web', 'Web'], 'challenge_points': ['408', '144']}"
sln.1550,543,"{'challenge_name': ['ezFPGA', 'signin'], 'challenge_category': ['Reverse', 'Misc'], 'challenge_points': ['487', '56']}"
牢马也有烦恼,541.78,"{'challenge_name': ['only read'], 'challenge_category': ['Pwn'], 'challenge_points': ['526']}"
FOTSEC,526,"{'challenge_name': ['only read'], 'challenge_category': ['Pwn'], 'challenge_points': ['526']}"
NaN Team,526,"{'challenge_name': ['only read'], 'challenge_category': ['Pwn'], 'challenge_points': ['526']}"
F1am3,456,"{'challenge_name': ['signin', 'QQQRcode'], 'challenge_category': ['Misc', 'Misc'], 'challenge_points': ['56', '400']}"
triumph,456,"{'challenge_name': ['signin', 'QQQRcode'], 'challenge_category': ['Misc', 'Misc'], 'challenge_points': ['56', '400']}"
天下之中二,456,"{'challenge_name': ['signin', 'QQQRcode'], 'challenge_category': ['Misc', 'Misc'], 'challenge_points': ['56', '400']}"
Peony,456,"{'challenge_name': ['signin', 'QQQRcode'], 'challenge_category': ['Misc', 'Misc'], 'challenge_points': ['56', '400']}"
inu.db,447.2,"{'challenge_name': ['signin', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Misc', 'Web', 'Web'], 'challenge_points': ['56', '240', '144']}"
6u9-02,443.84,"{'challenge_name': ['master of movie', 'signin'], 'challenge_category': ['Misc', 'Misc'], 'challenge_points': ['384', '56']}"
