name,points,challenges
laUGO,150,"{'challenge_name': ['AWAWA', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['forensics', 'misc', 'misc'], 'challenge_points': ['50', '50', '50'], 'solve_time': ['2025-04-06 03:00:24', '2025-04-05 23:00:51', '2025-04-05 22:31:09']}"
akmlalff,150,"{'challenge_name': ['Bologna Rider', 'Tortellini Check', 'AWAWA'], 'challenge_category': ['misc', 'misc', 'forensics'], 'challenge_points': ['50', '50', '50'], 'solve_time': ['2025-04-06 03:40:36', '2025-04-06 03:23:37', '2025-04-06 00:50:24']}"
itsfireside,150,"{'challenge_name': ['AWAWA', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['forensics', 'misc', 'misc'], 'challenge_points': ['50', '50', '50'], 'solve_time': ['2025-04-06 05:47:58', '2025-04-06 00:41:54', '2025-04-06 00:26:59']}"
bkmlauda,150,"{'challenge_name': ['Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['misc', 'forensics', 'misc'], 'challenge_points': ['50', '50', '50'], 'solve_time': ['2025-04-06 10:00:52', '2025-04-06 08:25:30', '2025-04-06 08:13:44']}"
radi0xhead,150,"{'challenge_name': ['Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['misc', 'forensics', 'misc'], 'challenge_points': ['50', '50', '50'], 'solve_time': ['2025-04-06 14:28:58', '2025-04-05 22:41:20', '2025-04-05 22:30:33']}"
ch1lL_9uy,150,"{'challenge_name': ['Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['misc', 'forensics', 'misc'], 'challenge_points': ['50', '50', '50'], 'solve_time': ['2025-04-06 16:37:28', '2025-04-06 13:05:16', '2025-04-06 12:16:36']}"
CyberKnoedel,150,"{'challenge_name': ['AWAWA', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['forensics', 'misc', 'misc'], 'challenge_points': ['50', '50', '50'], 'solve_time': ['2025-04-06 18:46:24', '2025-04-06 15:11:21', '2025-04-06 14:47:50']}"
Cryingfreeman74,150,"{'challenge_name': ['Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['misc', 'forensics', 'misc'], 'challenge_points': ['50', '50', '50'], 'solve_time': ['2025-04-06 20:53:40', '2025-04-05 22:57:49', '2025-04-05 22:40:51']}"
skalvin,144,"{'challenge_name': ['Tortellini Check', 'Ambiguous Collisions'], 'challenge_category': ['misc', 'misc'], 'challenge_points': ['50', '94'], 'solve_time': ['2025-04-06 17:06:29', '2025-04-06 15:39:45']}"
BombardiroCrocodilo,110,"{'challenge_name': ['Feedback form', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc'], 'challenge_points': ['10', '50', '50'], 'solve_time': ['2025-04-06 20:13:06', '2025-04-06 17:07:00', '2025-04-06 06:01:31']}"
Abhi,110,"{'challenge_name': ['Feedback form', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc'], 'challenge_points': ['10', '50', '50'], 'solve_time': ['2025-04-06 22:15:24', '2025-04-06 12:41:59', '2025-04-05 22:31:28']}"
Visciola,100,"{'challenge_name': ['Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-04-05 22:52:54', '2025-04-05 22:49:25']}"
HCS,100,"{'challenge_name': ['AWAWA', 'Tortellini Check'], 'challenge_category': ['forensics', 'misc'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-04-05 23:00:41', '2025-04-05 22:31:32']}"
disavowed913,100,"{'challenge_name': ['AWAWA', 'Tortellini Check'], 'challenge_category': ['forensics', 'misc'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-04-05 23:03:31', '2025-04-05 22:54:28']}"
andredorme,100,"{'challenge_name': ['Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-04-05 23:08:10', '2025-04-05 22:57:21']}"
noneForce,100,"{'challenge_name': ['Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-04-05 23:10:00', '2025-04-05 22:57:35']}"
pranaynidhi,100,"{'challenge_name': ['Tortellini Check', 'AWAWA'], 'challenge_category': ['misc', 'forensics'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-04-05 23:23:50', '2025-04-05 23:02:13']}"
Highlander,100,"{'challenge_name': ['AWAWA', 'Tortellini Check'], 'challenge_category': ['forensics', 'misc'], 'challenge_points': ['50', '50'], 'solve_time': ['2025-04-05 23:26:19', '2025-04-05 23:05:06']}"
