,name,points,challenges
93,ADA INDONESIA COY,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
94,Manga,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
95,S.O.A.P,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
96,Hidden Investigations,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
97,Rats,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
98,two dollar,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
99,venoms,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
100,team plusk,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
101,0xdd,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
102,Sea~,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
103,Nepker,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
104,lifeless,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
105,Davide,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
106,R0PSEC,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
107,27,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
108,0xsecops,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
109,Pwn3d P4nth3rs,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
110,bakayang,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
111,Jiang,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
112,SilentScream,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
113,3r0th3r CC,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
114,m30w,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
115,Imp3rator,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
116,M1tM,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
117,Ph4nt0mz,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
118,savi0ur,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
119,BatteringRAM,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
120,GLiTCh GreMLIns,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
121,mad1337,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
122,Invaders0x1,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
123,madwanzi,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
124,Skyge,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
125,High_five,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
126,FHD_5,10,"{'challenge_name': ['Welcome Discord Challenge'], 'challenge_category': ['Welcome']}"
