name,points,challenges
Del0n1x,2839,"{'challenge_name': ['portable', 'chase', 'stone-game', 'randomized random', 'baby layout', 'safe layout', 'supersqli', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Crypto', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '327', '416', '200', '289', '357', '246', '59', '285']}"
L,2826.64,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'baby layout', 'safe layout', 'safe layout revenge', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '200', '289', '416', '246', '59', '285']}"
KCSC,2809,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'randomized random', 'baby layout', 'safe layout', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Web', 'Web', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '416', '200', '289', '246', '59', '285']}"
flame,2726.12,"{'challenge_name': ['linuxpdf', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'raenil', 'welcome'], 'challenge_category': ['Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Misc', 'Misc'], 'challenge_points': ['327', '588', '416', '571', '200', '289', '246', '59']}"
Ph0t1n1a,2393,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'baby layout', 'safe layout', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '200', '289', '246', '59', '285']}"
L3H Sec,2348,"{'challenge_name': ['linuxpdf', 'randomized random', 'baby layout', 'safe layout', 'raenil', 'nanonymous spam', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Crypto', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['327', '416', '200', '289', '246', '526', '59', '285']}"
AmTrain,2257.27,"{'challenge_name': ['Are you incognito?', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'welcome'], 'challenge_category': ['Web', 'Web', 'Web', 'Web', 'Web', 'Misc'], 'challenge_points': ['909', '200', '289', '357', '416', '59']}"
CyberHunter,2066,"{'challenge_name': ['chase', 'stone-game', 'baby layout', 'safe layout', 'supersqli', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['303', '327', '200', '289', '357', '246', '59', '285']}"
sln.1550,1949.71,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'magicfile', 'stone-game', 'welcome'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Misc'], 'challenge_points': ['357', '303', '327', '571', '327', '59']}"
BITs2Sys,1904,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'raenil', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '246', '59', '285']}"
ZRSEC,1849,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'baby layout', 'supersqli', 'raenil', 'welcome'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Web', 'Web', 'Misc', 'Misc'], 'challenge_points': ['357', '303', '327', '200', '357', '246', '59']}"
