name,points,challenges
flauschig zarte tastatur,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Ripe Rice,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
BKISC,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
The Coal Rush,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
SiBears,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Phantom0,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
El3ctronic,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Disco Data Desperados (we are currently clean on OPSEC),143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
La frererie,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Outlaws of Overflow Gulch,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
avrrop,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
:syscall:,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
"see me less, feel me more",143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
RPISEC,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
PseudoSudo,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
outlaw-school Cozy Tea Friends 🍵,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
ICEWALL,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
PP l'anglais >>,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
pwnhub enjoyers,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
404TariffNotFound,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
fluffy cats,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Untitled CTF Game,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Exploiitm24,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
pwnhawgaukar,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Team™,143,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
k0kos,142,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
R4nd0m B00l5h33t5 G0,142,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Hack@Sec,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
PwnXAI,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
akasec but smarter,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Babbage Ranch Wranglers,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
418teapot,101,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
